,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
0,0.10005,3.4126,0.0,0.6355,-0.92259
1,0.10005,3.1436,0.0,0.61636,-0.91178
2,0.10005,2.9878,0.0,0.61636,-0.90557
3,0.10005,2.7206,0.0,0.64882,-0.89503
4,0.10005,2.4232,0.0,0.67973,-0.88344
5,0.1044,4.2262,109.48,0.7914,1.1875
6,0.1061,6.8263,296.24,0.91757,1.5673
7,0.11148,10.154,540.96,0.95414,2.6957
8,0.14224,15.206,1255.8,1.0945,8.2179
9,0.20076,18.197,1590.7,1.1656,17.279
10,0.29086,20.882,1912.7,1.2313,29.838
11,0.31421,22.873,2093.0,1.279,32.931
12,0.32037,23.403,1822.5,1.3029,33.738
13,0.31814,23.211,1352.4,1.3468,33.447
14,0.30354,21.978,1043.3,1.4126,31.523
15,0.25247,20.621,830.76,1.3392,24.622
16,0.24632,20.237,805.0,1.4065,23.771
17,0.17022,17.888,457.24,1.459,12.685
18,0.1295,15.686,244.72,1.271,6.0422
19,0.10005,12.9,45.08,1.1598,-0.018471
20,0.10005,11.115,0.0,1.1583,-1.293
21,0.10005,9.9658,0.0,1.1494,-1.2295
22,0.10005,8.982,0.0,1.1568,-1.1776
23,0.10005,8.3447,0.0,1.1946,-1.1452
24,0.10005,7.9125,0.0,1.2299,-1.1237
25,0.10005,7.5825,0.0,1.2561,-1.1076
26,0.10005,7.4909,0.0,1.2629,-1.1031
27,0.10005,8.0869,0.0,1.3379,-1.1323
28,0.10005,8.3632,0.0,1.3147,-1.1461
29,0.10757,8.857,103.04,1.3569,1.888
30,0.1102,9.6121,418.6,1.3943,2.4389
31,0.11482,11.244,695.52,1.415,3.353
32,0.12262,12.917,727.72,1.452,4.8138
33,0.13909,14.924,920.92,1.4614,7.6855
34,0.17067,16.988,1313.8,1.4543,12.754
35,0.19076,17.841,1178.5,1.459,15.8
36,0.20531,18.344,1101.2,1.4543,17.945
37,0.23313,19.131,1210.7,1.4567,21.925
38,0.2421,19.349,1127.0,1.4366,23.182
39,0.24315,19.374,1056.2,1.4113,23.328
40,0.21497,18.64,798.56,1.3645,19.341
41,0.17923,17.381,547.4,1.2615,14.067
42,0.14119,15.809,309.12,1.0724,8.0399
43,0.10005,12.496,45.08,0.8064,0.002015
44,0.10005,10.778,0.0,0.73769,-1.2741
45,0.10005,9.8849,0.0,0.67973,-1.2252
46,0.10005,8.9786,0.0,0.63009,-1.1775
47,0.10005,8.2385,0.0,0.59947,-1.1399
48,0.10005,7.5839,0.0,0.58794,-1.1076
49,0.10005,6.8822,0.0,0.58794,-1.0741
50,0.10005,6.1893,0.0,0.59084,-1.042
51,0.10005,5.554,0.0,0.61078,-1.0134
52,0.10005,5.0854,0.0,0.65669,-0.99277
53,0.10636,7.1056,173.88,0.88916,1.6271
54,0.10923,9.1408,367.08,1.02,2.2392
55,0.11737,11.893,586.04,1.1759,3.8418
56,0.12766,13.676,695.52,1.0367,5.7177
57,0.13869,14.894,1024.0,0.92129,7.6172
58,0.18032,17.434,1848.3,0.86179,14.232
59,0.18158,17.491,1584.2,0.69713,14.423
60,0.20848,18.455,1545.6,0.73303,18.407
61,0.21612,18.679,1519.8,0.89108,19.505
62,0.18825,17.754,1378.2,0.86575,15.425
63,0.17044,16.985,1249.4,0.92685,12.724
64,0.17706,17.29,1011.1,0.98763,13.737
65,0.15515,16.14,650.44,0.97543,10.318
66,0.13452,14.489,283.36,0.82112,6.9113
67,0.10005,11.984,38.64,0.70203,-0.16832
68,0.10005,10.995,0.0,0.80001,-1.2863
69,0.10005,10.12,0.0,0.88723,-1.2379
70,0.10005,9.4434,0.0,0.97367,-1.2017
