,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
0,0.10005,17.169,0.0,0.96838,-1.6859
1,0.10005,16.318,0.0,0.96307,-1.6242
2,0.10005,15.669,0.0,0.97543,-1.5787
3,0.10005,15.093,0.0,0.99109,-1.5393
4,0.10005,14.578,0.0,1.0099,-1.5049
5,0.12172,15.293,199.64,1.096,4.6513
6,0.19229,17.9,637.56,1.1284,16.025
7,0.29739,21.438,1107.7,1.1918,30.706
8,0.32709,23.99,1526.3,1.2534,34.619
9,0.34323,25.44,1706.6,1.2857,36.71
10,0.35577,26.64,1854.7,1.3173,38.324
11,0.36552,27.647,2041.5,1.3302,39.571
12,0.36562,27.657,1854.7,1.3186,39.582
13,0.36199,27.274,1564.9,1.3068,39.121
14,0.36226,27.299,1590.7,1.3108,39.151
15,0.3551,26.574,1326.6,1.316,38.238
16,0.27567,25.598,914.48,1.3016,27.792
17,0.18739,24.266,534.52,1.252,15.298
18,0.11936,21.875,193.2,1.1759,4.2143
19,0.10005,19.143,0.0,1.1344,-1.8383
20,0.10005,17.235,0.0,1.1007,-1.6908
21,0.10005,15.546,0.0,1.025,-1.5702
22,0.10005,14.025,0.0,0.96662,-1.4689
23,0.10005,12.615,0.0,0.91196,-1.3809
24,0.10005,11.369,0.0,0.84778,-1.3075
25,0.10005,10.39,0.0,0.75828,-1.2526
26,0.10005,9.6298,0.0,0.69468,-1.2116
27,0.10005,9.1764,0.0,0.72363,-1.1877
28,0.10005,8.7268,0.0,0.73536,-1.1645
29,0.1105,9.7559,199.64,0.8417,2.4994
30,0.1224,12.891,682.64,0.76948,4.7737
31,0.17927,17.397,1139.9,0.61358,14.073
32,0.28859,20.688,1507.0,0.54233,29.534
33,0.31257,23.858,1861.2,0.54233,32.716
34,0.33166,26.851,2215.4,0.54233,35.212
35,0.34061,28.199,2318.4,0.54233,36.373
36,0.35432,28.623,2357.0,0.67214,38.138
37,0.36418,28.609,2254.0,0.86575,39.4
38,0.36662,28.25,2022.2,1.035,39.709
39,0.36141,27.298,1661.5,1.1715,39.044
40,0.3465,25.745,1236.5,1.2369,37.132
41,0.23675,24.213,753.48,1.2424,22.434
42,0.13462,21.945,276.92,1.1989,6.9266
43,0.10005,18.3,19.32,1.1389,-1.1569
44,0.10005,15.894,0.0,1.1038,-1.5943
45,0.10005,14.168,0.0,0.98416,-1.4781
46,0.10005,12.851,0.0,0.83353,-1.3953
47,0.10005,11.59,0.0,0.69468,-1.3202
48,0.10005,10.535,0.0,0.57914,-1.2606
49,0.10005,10.012,0.0,0.57021,-1.232
50,0.10005,9.7961,0.0,0.60797,-1.2204
51,0.10005,9.6103,0.0,0.64882,-1.2105
52,0.10005,9.4599,0.0,0.72835,-1.2026
53,0.11503,11.307,225.4,0.97543,3.3927
54,0.1323,14.244,682.64,1.1115,6.5311
55,0.18333,17.554,1159.2,1.1374,14.687
56,0.28289,20.199,1603.6,1.1374,28.768
57,0.31049,22.555,1964.2,1.1627,32.441
58,0.33085,24.321,2221.8,1.2018,35.107
59,0.34444,25.554,2337.7,1.2272,36.869
60,0.35298,26.367,2337.7,1.2272,37.968
61,0.3567,26.733,2241.1,1.2258,38.443
62,0.35502,26.566,2015.7,1.2145,38.228
63,0.34702,25.793,1661.5,1.1831,37.198
64,0.33317,24.526,1242.9,1.1299,35.407
65,0.23789,23.48,759.92,1.0167,22.594
66,0.13602,20.578,283.36,0.61636,7.1704
67,0.10005,16.658,19.32,0.60232,-1.041
68,0.10005,14.893,0.0,0.62463,-1.5259
