,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
0,0.10005,8.3872,0.0,0.54233,-1.1473
1,0.10005,7.2943,0.0,0.54233,-1.0937
2,0.10005,6.2732,0.0,0.54233,-1.0458
3,0.10005,6.0271,0.0,0.54253,-1.0346
4,0.10005,7.3138,19.32,0.78707,-0.52701
5,0.1101,9.5674,302.68,1.025,2.4165
6,0.12456,13.234,766.36,1.0976,5.1677
7,0.19691,18.066,1223.6,1.1509,16.712
8,0.29083,20.877,1629.3,1.2018,29.829
9,0.31529,22.966,1970.6,1.1817,33.073
10,0.33362,24.566,2208.9,1.1464,35.466
11,0.34607,25.704,2312.0,1.1223,37.076
12,0.35343,26.47,2312.0,1.1238,38.022
13,0.35616,26.742,2189.6,1.1464,38.372
14,0.35371,26.44,1938.4,1.1524,38.059
15,0.34386,25.497,1526.3,1.1434,36.791
16,0.32306,24.135,1114.1,1.1069,34.093
17,0.22287,22.844,695.52,0.99282,20.473
18,0.12901,19.756,244.72,0.70446,5.9543
19,0.10005,16.46,0.0,0.79356,-1.6343
20,0.10005,14.438,0.0,0.90631,-1.4957
21,0.10005,12.221,0.0,0.82941,-1.3573
22,0.10005,10.346,0.0,0.71411,-1.2502
23,0.10005,9.036,0.0,0.66703,-1.1804
24,0.10005,8.1626,0.0,0.66703,-1.1361
25,0.10005,7.5678,0.0,0.67973,-1.1069
26,0.10005,6.9647,0.0,0.64618,-1.078
27,0.10005,6.0826,0.0,0.5672,-1.0371
28,0.10005,5.4436,19.32,0.54233,-0.44887
29,0.10781,8.3169,296.24,0.54233,1.9432
30,0.12153,12.75,759.92,0.60232,4.6185
31,0.18773,17.743,1217.2,0.57914,15.348
32,0.29946,21.614,1622.9,0.60515,30.982
33,0.32591,24.781,1970.6,0.66188,34.463
34,0.34204,26.837,2196.0,0.68973,36.558
35,0.35551,27.968,2228.2,0.78489,38.29
36,0.35908,27.973,1932.0,0.8697,38.746
37,0.3603,27.986,1809.6,0.90063,38.903
38,0.35066,26.919,1410.4,0.87362,37.669
39,0.27872,25.511,927.36,0.79786,28.204
40,0.20455,24.541,611.8,0.64882,17.831
41,0.16803,23.24,444.36,0.54233,12.346
42,0.10501,21.279,103.04,0.54233,1.3243
43,0.10005,18.721,0.0,0.54233,-1.8046
44,0.10005,17.125,0.0,0.54233,-1.6827
45,0.10005,15.234,0.0,0.54233,-1.5488
46,0.10005,14.164,0.0,0.55191,-1.4779
47,0.10005,13.757,0.0,0.80001,-1.4518
48,0.10005,13.125,0.0,0.98242,-1.4121
49,0.10005,12.041,0.0,0.93054,-1.3466
50,0.10005,10.647,0.0,0.78489,-1.2668
51,0.10005,9.3364,0.0,0.64352,-1.1961
52,0.10005,8.7032,12.88,0.5732,-0.78094
53,0.10005,9.5564,19.32,0.55191,-0.63045
54,0.10016,11.101,45.08,0.54233,0.069577
55,0.11061,13.485,128.8,0.54233,2.5202
56,0.1217,15.364,199.64,0.57618,4.6496
57,0.18076,17.844,508.76,0.65407,14.298
58,0.21018,19.837,644.0,0.75602,18.65
59,0.25753,21.486,850.08,0.92129,25.319
60,0.15607,22.478,386.4,1.0482,10.466
61,0.25371,22.455,830.76,1.1568,24.793
62,0.22843,22.204,721.28,1.2355,21.262
63,0.19941,21.183,592.48,1.2465,17.079
64,0.17713,19.713,489.44,1.223,13.747
65,0.12465,18.0,218.96,1.186,5.1857
66,0.10288,15.78,77.28,1.1162,0.82739
67,0.10005,12.993,0.0,1.0167,-1.4039
68,0.10005,11.286,0.0,0.97367,-1.3028
69,0.10005,10.618,0.0,0.97893,-1.2652
70,0.10005,10.246,0.0,1.0133,-1.2447
71,0.10005,9.8765,0.0,1.025,-1.2247
72,0.10005,9.4504,0.0,1.0284,-1.2021
73,0.10005,9.0625,0.0,1.0611,-1.1818
74,0.10005,8.6839,0.0,1.0724,-1.1624
75,0.10005,8.2774,0.0,1.074,-1.1418
76,0.10005,7.8826,12.88,1.066,-0.74219
77,0.10194,7.8265,57.96,1.074,0.58906
78,0.10787,8.3158,148.12,1.0851,1.9502
79,0.10977,9.4157,251.16,1.0866,2.3516
80,0.11473,11.224,347.76,1.0851,3.3364
81,0.12674,13.549,605.36,1.0898,5.5536
82,0.14825,15.672,747.04,1.0756,9.2024
83,0.17723,17.298,805.0,0.97191,13.763
84,0.20595,18.375,972.44,0.74231,18.037
85,0.19443,17.995,766.36,0.54233,16.346
86,0.24848,19.515,1178.5,0.54233,24.07
87,0.23572,19.215,1107.7,0.54233,22.289
88,0.18585,17.672,811.44,0.54253,15.066
89,0.1508,15.869,502.32,0.54233,9.6195
90,0.1198,13.301,186.76,0.54233,4.2994
91,0.10005,10.773,0.0,0.73069,-1.2738
92,0.10005,8.8114,0.0,0.76948,-1.1689
93,0.10005,7.422,0.0,0.66959,-1.0998
94,0.10005,6.164,0.0,0.54233,-1.0408
95,0.10005,5.4401,0.0,0.54233,-1.0083
96,0.10005,4.9881,0.0,0.57021,-0.98854
97,0.10005,4.8733,0.0,0.64086,-0.98358
98,0.10005,4.6475,0.0,0.7093,-0.9739
99,0.10005,4.3286,0.0,0.74231,-0.96038
100,0.10005,4.2027,25.76,0.74461,-0.21609
101,0.10535,5.9457,199.64,0.78271,1.4051
102,0.10826,8.5783,508.76,0.91008,2.0339
103,0.11951,12.351,920.92,0.97367,4.2394
104,0.16245,16.569,1532.7,0.99969,11.474
105,0.24175,19.346,1996.4,0.97718,23.132
